[INFO] 2026-08-28T09:40:18 | ai_engine.video | LATENCY_TRACE stage=ai_result stream_id=video-0 frame_id=29 rtp_ts=72571508 ts_ms=1787910018340 inference_latency_ms=26.956
[INFO] 2026-08-28T09:40:18 | ai_engine.video.mf_callback | LATENCY_TRACE stage=ai_push stream_id=video-0 frame_id=29 rtp_ts=72571508 ts_ms=1787910018349
[INFO] 2026-08-28T09:40:18 | ai_engine | LATENCY_TRACE stage=ai_received stream_id=video-0 frame_id=30 rtp_ts=72595809 ts_ms=1787910018596
[INFO] 2026-08-28T09:40:18 | ai_engine.video | LATENCY_TRACE stage=ai_submit stream_id=video-0 frame_id=30 rtp_ts=72595809 ts_ms=1787910018597
[INFO] 2026-08-28T09:40:18 | ai_engine.video | LATENCY_TRACE stage=ai_result stream_id=video-0 frame_id=30 rtp_ts=72595809 ts_ms=1787910018613 inference_latency_ms=15.872
[INFO] 2026-08-28T09:40:18 | ai_engine.video.mf_callback | LATENCY_TRACE stage=ai_push stream_id=video-0 frame_id=30 rtp_ts=72595809 ts_ms=1787910018618
[INFO] 2026-08-28T09:40:18 | ai_engine | LATENCY_TRACE stage=ai_received stream_id=video-0 frame_id=31 rtp_ts=72625776 ts_ms=1787910018900
[INFO] 2026-08-28T09:40:18 | ai_engine.video | LATENCY_TRACE stage=ai_submit stream_id=video-0 frame_id=31 rtp_ts=72625776 ts_ms=1787910018901
[INFO] 2026-08-28T09:40:18 | ai_engine.video | LATENCY_TRACE stage=ai_result stream_id=video-0 frame_id=31 rtp_ts=72625776 ts_ms=1787910018915 inference_latency_ms=13.638
[INFO] 2026-08-28T09:40:18 | ai_engine.video.mf_callback | LATENCY_TRACE stage=ai_push stream_id=video-0 frame_id=31 rtp_ts=72625776 ts_ms=1787910018926
[INFO] 2026-08-28T09:40:19 | ai_engine | LATENCY_TRACE stage=ai_received stream_id=video-0 frame_id=32 rtp_ts=72650078 ts_ms=1787910019185
[INFO] 2026-08-28T09:40:19 | ai_engine.video | LATENCY_TRACE stage=ai_submit stream_id=video-0 frame_id=32 rtp_ts=72650078 ts_ms=1787910019186
[INFO] 2026-08-28T09:40:19 | ai_engine.video | LATENCY_TRACE stage=ai_result stream_id=video-0 frame_id=32 rtp_ts=72650078 ts_ms=1787910019204 inference_latency_ms=18.118
[INFO] 2026-08-28T09:40:19 | ai_engine.video.mf_callback | LATENCY_TRACE stage=ai_push stream_id=video-0 frame_id=32 rtp_ts=72650078 ts_ms=1787910019210
[INFO] 2026-08-28T09:40:19 | ai_engine | LATENCY_TRACE stage=ai_received stream_id=video-0 frame_id=33 rtp_ts=72674051 ts_ms=1787910019418
[INFO] 2026-08-28T09:40:19 | ai_engine.video | LATENCY_TRACE stage=ai_submit stream_id=video-0 frame_id=33 rtp_ts=72674051 ts_ms=1787910019419
[INFO] 2026-08-28T09:40:19 | ai_engine.video | LATENCY_TRACE stage=ai_result stream_id=video-0 frame_id=33 rtp_ts=72674051 ts_ms=1787910019431 inference_latency_ms=12.127
[INFO] 2026-08-28T09:40:19 | ai_engine.video.mf_callback | LATENCY_TRACE stage=ai_push stream_id=video-0 frame_id=33 rtp_ts=72674051 ts_ms=1787910019437
[INFO] 2026-08-28T09:40:19 | ai_engine | LATENCY_TRACE stage=ai_received stream_id=video-0 frame_id=34 rtp_ts=72692032 ts_ms=1787910019621
[INFO] 2026-08-28T09:40:19 | ai_engine.video | LATENCY_TRACE stage=ai_submit stream_id=video-0 frame_id=34 rtp_ts=72692032 ts_ms=1787910019622
[INFO] 2026-08-28T09:40:19 | ai_engine.video | LATENCY_TRACE stage=ai_result stream_id=video-0 frame_id=34 rtp_ts=72692032 ts_ms=1787910019635 inference_latency_ms=12.566
[INFO] 2026-08-28T09:40:19 | ai_engine.video.mf_callback | LATENCY_TRACE stage=ai_push stream_id=video-0 frame_id=34 rtp_ts=72692032 ts_ms=1787910019641
[INFO] 2026-08-28T09:40:19 | ai_engine | LATENCY_TRACE stage=ai_received stream_id=video-0 frame_id=35 rtp_ts=72716333 ts_ms=1787910019896
[INFO] 2026-08-28T09:40:19 | ai_engine.video | LATENCY_TRACE stage=ai_submit stream_id=video-0 frame_id=35 rtp_ts=72716333 ts_ms=1787910019897
[INFO] 2026-08-28T09:40:19 | ai_engine.video | LATENCY_TRACE stage=ai_result stream_id=video-0 frame_id=35 rtp_ts=72716333 ts_ms=1787910019910 inference_latency_ms=13.414
[INFO] 2026-08-28T09:40:19 | ai_engine.video.mf_callback | LATENCY_TRACE stage=ai_push stream_id=video-0 frame_id=35 rtp_ts=72716333 ts_ms=1787910019915
[INFO] 2026-08-28T09:40:20 | ai_engine | LATENCY_TRACE stage=ai_received stream_id=video-0 frame_id=36 rtp_ts=72734313 ts_ms=1787910020099
[INFO] 2026-08-28T09:40:20 | ai_engine.video | LATENCY_TRACE stage=ai_submit stream_id=video-0 frame_id=36 rtp_ts=72734313 ts_ms=1787910020100
[INFO] 2026-08-28T09:40:20 | ai_engine.video | LATENCY_TRACE stage=ai_result stream_id=video-0 frame_id=36 rtp_ts=72734313 ts_ms=1787910020117 inference_latency_ms=16.821
[INFO] 2026-08-28T09:40:20 | ai_engine.video.mf_callback | LATENCY_TRACE stage=ai_push stream_id=video-0 frame_id=36 rtp_ts=72734313 ts_ms=1787910020122
[INFO] 2026-08-28T09:40:20 | ai_engine | LATENCY_TRACE stage=ai_received stream_id=video-0 frame_id=37 rtp_ts=72758451 ts_ms=1787910020378
[INFO] 2026-08-28T09:40:20 | ai_engine.video | LATENCY_TRACE stage=ai_submit stream_id=video-0 frame_id=37 rtp_ts=72758451 ts_ms=1787910020379
[INFO] 2026-08-28T09:40:20 | ai_engine.video | LATENCY_TRACE stage=ai_result stream_id=video-0 frame_id=37 rtp_ts=72758451 ts_ms=1787910020390 inference_latency_ms=11.008
[INFO] 2026-08-28T09:40:20 | ai_engine.video.mf_callback | LATENCY_TRACE stage=ai_push stream_id=video-0 frame_id=37 rtp_ts=72758451 ts_ms=1787910020395
[INFO] 2026-08-28T09:40:20 | ai_engine | LATENCY_TRACE stage=ai_received stream_id=video-0 frame_id=38 rtp_ts=72782588 ts_ms=1787910020613
[INFO] 2026-08-28T09:40:20 | ai_engine.video | LATENCY_TRACE stage=ai_submit stream_id=video-0 frame_id=38 rtp_ts=72782588 ts_ms=1787910020613
[INFO] 2026-08-28T09:40:20 | ai_engine.video | LATENCY_TRACE stage=ai_result stream_id=video-0 frame_id=38 rtp_ts=72782588 ts_ms=1787910020626 inference_latency_ms=12.821
[INFO] 2026-08-28T09:40:20 | ai_engine.video.mf_callback | LATENCY_TRACE stage=ai_push stream_id=video-0 frame_id=38 rtp_ts=72782588 ts_ms=1787910020631
[INFO] 2026-08-28T09:40:20 | ai_engine | LATENCY_TRACE stage=ai_received stream_id=video-0 frame_id=39 rtp_ts=72800569 ts_ms=1787910020823
[INFO] 2026-08-28T09:40:20 | ai_engine.video | LATENCY_TRACE stage=ai_submit stream_id=video-0 frame_id=39 rtp_ts=72800569 ts_ms=1787910020825
[INFO] 2026-08-28T09:40:20 | ai_engine.video | LATENCY_TRACE stage=ai_result stream_id=video-0 frame_id=39 rtp_ts=72800569 ts_ms=1787910020836 inference_latency_ms=10.924
[INFO] 2026-08-28T09:40:20 | ai_engine.video.mf_callback | LATENCY_TRACE stage=ai_push stream_id=video-0 frame_id=39 rtp_ts=72800569 ts_ms=1787910020840
[INFO] 2026-08-28T09:40:21 | ai_engine | LATENCY_TRACE stage=ai_received stream_id=video-0 frame_id=40 rtp_ts=72818713 ts_ms=1787910021033
[INFO] 2026-08-28T09:40:21 | ai_engine.video | LATENCY_TRACE stage=ai_submit stream_id=video-0 frame_id=40 rtp_ts=72818713 ts_ms=1787910021034
